city_name,listing_count
Charlotte,3581
Austin,1955
Nashville,1005
Kansas City,904
Denver,885
Clarksville,650
Gastonia,553
Asheville,550
Mooresville,468
Hendersonville,437
Concord,418
Georgetown,414
Statesville,392
Rock Hill,370
Murfreesboro,359
Aurora,333
Hickory,329
Salisbury,291
Orlando,290
Fort Mill,289
Monroe,271
Round Rock,268
Sarasota,256
Huntersville,251
Spring Hill,251
Kannapolis,246
Leander,244
Kyle,227
Kissimmee,218
Tampa,216
Franklin,215
Lancaster,215
Lebanon,215
Independence,213
Shelby,204
Gallatin,195
Waynesville,192
Bradenton,185
Boulder,183
Columbia,180
Ocala,180
Olathe,180
Colorado Springs,176
Morganton,176
Liberty Hill,175
Pflugerville,172
Fort Collins,169
Troutman,165
Littleton,162
Matthews,155
San Marcos,154
Waxhaw,154
Lee'S Summit,153
St Petersburg,153
Indian Trail,150
Lenoir,148
Belmont,144
Lincolnton,144
Longmont,138
Port Charlotte,138
York,137
Cornelius,136
Venice,134
Windsor,131
Davenport,130
Punta Gorda,130
Mount Juliet,126
Parker,126
Brevard,122
Chicago,122
Hutto,122
Loveland,122
Englewood,121
Smyrna,121
Albemarle,120
Davidson,119
Fletcher,119
Overland Park,116
Lago Vista,115
Greeley,114
St Joseph,114
Black Mountain,113
Buda,113
Indian Land,113
Antioch,108
North Port,108
Manor,106
Arvada,105
Bastrop,105
Fairview,105
Marion,105
Clover,104
Lake Lure,104
Lakeland,104
Castle Rock,101
Mount Holly,101
Johnstown,99
Rutherfordton,97
The Villages,97
Lakewood,95
Hermitage,94
Palm Coast,94
Sherrills Ford,92
Elgin,90
Brentwood,89
Lexington,89
Dripping Springs,88
Newton,86
Thornton,84
Burnsville,83
Cedar Park,82
Parrish,81
Smithville,81
Commerce City,80
Dallas,80
Mint Hill,80
Haines City,79
Blue Springs,78
Kings Mountain,78
Brighton,77
Mars Hill,77
Conover,76
Granite Falls,76
Arden,75
Weaverville,75
Marshall,74
Chester,73
Jarrell,73
Sylva,73
Candler,72
Canton,70
Clyde,70
Harrisburg,70
Highlands Ranch,70
Madison,70
Hudson,69
Spicewood,69
Connelly Springs,68
Nebo,68
Broomfield,66
Horseshoe Bay,66
Lafayette,66
Chattanooga,65
Erie,65
Stanley,65
Maxwell,64
Taylorsville,64
Wesley Chapel,64
Wimberley,64
Riverview,63
Clearwater,59
Leicester,59
New Braunfels,59
Raytown,59
La Vergne,58
Bessemer City,57
Forest City,57
Shelbyville,57
Belton,56
Centennial,56
Leavenworth,56
Maggie Valley,56
New Port Richey,55
Winter Haven,55
Land O Lakes,54
Westminster,54
Winter Garden,54
White House,53
Dickson,52
Gainesville,52
Goodlettsville,52
Manchester,52
Leesburg,51
Lenexa,51
Maiden,51
Saint Cloud,51
Cherryville,50
Mill Spring,50
New London,50
Portland,50
St Louis,50
Taylor,50
Mount Dora,49
Old Hickory,49
Zephyrhills,49
Locust,48
China Grove,47
Apopka,46
Burnet,46
Mills River,46
Oak Grove,46
Shawnee,46
Warrensburg,46
Bryson City,45
Tega Cay,45
Leawood,44
Mount Gilead,44
Palmetto,44
Tullahoma,44
Lakeway,43
Pineville,43
Berthoud,42
Catawba,42
Cookeville,42
Deland,42
Killeen,42
Mc Minnville,42
Nolensville,42
Timnath,42
Columbus,41
Lewisburg,41
Lockhart,41
Springfield,41
Valdese,41
New Smyrna Beach,40
San Antonio,40
Wadesboro,40
Cleveland,39
Maryville,39
Old Fort,39
Raymore,39
Severance,39
Winchester,39
Basehor,38
Clermont,38
Flat Rock,38
Liberty,38
Pittsburg,38
Lake Wylie,37
Thompsons Station,37
Estes Park,36
Jonestown,36
Kershaw,35
Troy,35
Marshville,34
Mooresboro,34
Terrell,34
Deltona,33
Lake Wales,33
Mount Pleasant,33
Norwood,33
Sparta,33
Spruce Pine,33
Wellington,33
Mocksville,32
Sanford,32
Vale,32
Bostic,31
Del Valle,31
Elizabeth,31
Lampasas,31
Paola,31
Rotonda West,31
Swannanoa,31
Altamonte Springs,30
Edgewater,30
Lakewood Ranch,30
Lawrence,30
Pisgah Forest,30
Tryon,30
Ashland City,29
Bakersville,29
Bertram,29
Cedar Creek,29
Denton,29
Dunnellon,29
Fayetteville,29
Grain Valley,29
Harrisonville,29
Midland,29
Pueblo,29
Summerfield,29
Sun City Center,29
Whittier,29
Wimauma,29
Brooksville,28
Chapel Hill,28
College Grove,28
Lake Toxaway,28
Louisville,28
Nokomis,28
Union Mills,28
Grandview,27
Iron Station,27
Mound City,27
Wingate,27
Winston Salem,27
Cullowhee,26
Debary,26
Evans,26
Gardner,26
Lawrenceburg,26
Marble Falls,26
Odessa,26
Platte City,26
Spencer,26
Wheat Ridge,26
Crossville,25
Fort Lupton,25
Morrison,25
Saluda,25
Brandon,24
Decherd,24
Largo,24
Lutz,24
Palm Harbor,24
Plant City,24
Richburg,24
Ruskin,24
Zirconia,24
Bartow,23
Cameron,23
Cramerton,23
Pulaski,23
St Cloud,23
Winter Park,23
Apollo Beach,22
Bennett,22
Claremont,22
Daytona Beach,22
Martin,22
Pageland,22
Parsons,22
Seguin,22
Temple,22
Auburndale,21
