city_id,city_name,state_id,state_code,county_area
1,AGUADILLA,11,PR,Aguadilla
2,ALACHUA,3,FL,Alachua
3,ALTAMONTE SPRINGS,3,FL,Seminole
4,ALTOONA,3,FL,Lake
5,ALVA,3,FL,Lee
6,ANNA MARIA,3,FL,Manatee
7,APOLLO BEACH,3,FL,Hillsborough
8,APOPKA,3,FL,Orange
9,ARCADIA,3,FL,DeSoto
10,ARCHER,3,FL,Levy
11,ARIPEKA,3,FL,Pasco
12,ASTATULA,3,FL,Lake
13,ASTOR,3,FL,Lake
14,AUBURNDALE,3,FL,Polk
15,AVON PARK,3,FL,Highlands
16,Adamsville,13,TN,"Hardin County, TN"
17,Adams,13,TN,"Montgomery County, TN"
18,Addison,5,IL,Du Page
19,Adkins,14,TX,Bexar
20,Adrian,8,MO,Bates
21,Advance,10,NC,Davie
22,Agate,2,CO,Elbert
23,Akron,2,CO,Washington
24,Alamosa,2,CO,Alamosa
25,Albany,8,MO,Gentry
26,Albemarle,10,NC,Stanly
27,Alexander,10,NC,Buncombe
28,Alexandria,13,TN,"Dekalb County, TN"
29,Alexis,10,NC,Lincoln
30,Allenspark,2,CO,Boulder
31,Allons,13,TN,"Clay County, TN"
32,Alma,2,CO,Park
33,Alma,8,MO,Lafayette
34,Almond,10,NC,Graham
35,Alpine,14,TX,Brewster
36,Altamont,6,KS,Labette
37,Altamont,8,MO,Daviess
38,Altamont,13,TN,"Grundy County, TN"
39,Alton,5,IL,Madison-IL
40,Amazonia,8,MO,Andrew
41,Amboy,5,IL,Lee
42,Amsterdam,8,MO,Bates
43,Anderson,12,SC,Anderson
44,Andrews,10,NC,CherokeeNC
45,Ansonville,10,NC,Anson
46,Antioch,13,TN,"Davidson County, TN"
47,Archie,8,MO,Bates
48,Arden,10,NC,Buncombe
49,Ardmore,13,TN,"Giles County, TN"
50,Arlington,16,WA,Snohomish
51,Arma,6,KS,"Crawford, KS"
52,Arnold,8,MO,Jefferson
53,Arrington,13,TN,"Williamson County, TN"
54,Arvada,2,CO,Jefferson
55,Asheboro,10,NC,Randolph
56,Asheville,10,NC,Buncombe
57,Ashland City,13,TN,"Cheatham County, TN"
58,Atchison,6,KS,"Atchison, KS"
59,Athens,13,TN,"McMinn County, TN"
60,Auburn,16,WA,King
61,Augusta,8,MO,St Charles
62,Ault,2,CO,Weld
63,Aurora,2,CO,Arapahoe
64,Aurora,5,IL,Kane
