location_id,location_code,location_name,location_type,area,city,state_code,country,latitude,longitude
1,USKSAROHAWBZPN,"Montgomery, KS",area,"Montgomery, KS",,KS,US,37.224409,-95.710559
2,USMOARXQNBXAOR,Ray,area,Ray,,MO,US,39.274475,-93.9745455
3,USKSARIXEZIRAN,"Franklin, KS",area,"Franklin, KS",,KS,US,38.60677285,-95.265361
4,USTNARTPQMWTKC,"Dekalb County, TN",area,"Dekalb County, TN",,TN,US,35.96089273,-85.8155834
5,USMOARNVAIUHKP,Vernon,area,Vernon,,MO,US,37.839762,-94.358985
6,USTNARJCIOTDYE,"Lawrence County, TN",area,"Lawrence County, TN",,TN,US,35.242481145,-87.32290427
7,USMOARBGVMKGQN,Nodaway,area,Nodaway,,MO,US,40.344577,-94.878613
8,USTNARNUXGNXWQ,"Putnam County, TN",area,"Putnam County, TN",,TN,US,36.169559469999996,-85.50123804
9,USTNARCETJDZWJ,"Giles County, TN",area,"Giles County, TN",,TN,US,35.19525644,-87.03865686
10,USMOARCPOGSUDB,Henry,area,Henry,,MO,US,38.368956145,-93.77134649999999
11,USKSARVRJNHMFD,Labette,area,Labette,,KS,US,37.339325935000005,-95.276490405
12,USCOARPYOOLCIQ,Summit,area,Summit,,CO,US,39.623036155,-106.09080539499999
13,USMOARXQHCZDVQ,Pettis,area,Pettis,,MO,US,38.702661,-93.235644
14,USILARAFLLRDFX,St Clair-IL,area,St Clair-IL,,IL,US,38.537199,-89.984128
15,USKSARCEBFJTBS,Bourbon,area,Bourbon,,KS,US,37.833365,-94.706505
16,USTNARIQJZNRPM,"Stewart County, TN",area,"Stewart County, TN",,TN,US,36.550796315,-87.849261445
17,USKSARQXJJNZFC,Allen,area,Allen,,KS,US,37.9297475,-95.4039515
18,USCOARGDATOESA,Logan,area,Logan,,CO,US,40.624756649999995,-103.21372
19,USTNARXVTZHURS,"Perry County, TN",area,"Perry County, TN",,TN,US,35.69715799,-87.79313506
20,USILARQCGZNUIN,Du Page,area,Du Page,,IL,US,41.8992122,-87.9420239
21,USILARAWZFFMJU,Randolph-IL,area,Randolph-IL,,IL,US,38.115627,-89.709054
22,USMOARWWEXEIKL,Bollinger,area,Bollinger,,MO,US,37.300480500000006,-90.00664499999999
23,USCOARTNKISOYV,Cheyenne,area,Cheyenne,,CO,US,38.81942,-102.35762
24,USMOARSLJPZSYH,Cooper,area,Cooper,,MO,US,38.726154019999996,-92.991520555
25,USMOARZREXNHQW,Iron,area,Iron,,MO,US,37.617179,-90.642346
26,USMOAROIGGXELI,Mercer,area,Mercer,,MO,US,40.396067,-93.58628636
27,USKSARVQJAPQOA,Butler,area,Butler,,KS,US,37.677557,-97.141002
28,USMOARIFESCEPG,Crawford,area,Crawford,,MO,US,38.061863,-91.412687
29,USTNARAVDKGIYU,"Jefferson County, TN",area,"Jefferson County, TN",,TN,US,36.01318517,-83.28203174
30,USMOARJOGRMTSG,Gentry,area,Gentry,,MO,US,40.216476,-94.540317705
31,USTNARXWXMIRZW,"Houston County, TN",area,"Houston County, TN",,TN,US,36.29147971,-87.67009629
32,USMOARXYTJDHMQ,Grundy,area,Grundy,,MO,US,40.07171,-93.612559
33,USGAARYODDIAZI,"Catoosa County, GA",area,"Catoosa County, GA",,GA,US,34.92443,-85.155057
34,USTNARMHDNZQYO,"Rhea County, TN",area,"Rhea County, TN",,TN,US,35.474987765,-84.970573685
35,USKSARPZTQVOAT,Coffey,area,Coffey,,KS,US,38.16173272,-95.7427815
36,USTNARGIRHUVTA,"Moore County, TN",area,"Moore County, TN",,TN,US,35.34025034,-86.31021054
37,USMOARNWGYGZHA,Camden,area,Camden,,MO,US,38.178741,-92.756564
38,USKYARNLPVZZOM,Fulton,area,Fulton,,KY,US,36.50717215,-88.8782828
39,USMOARHQWUCPVL,Pulaski,area,Pulaski,,MO,US,37.808170000000004,-92.156862
40,USMOARTXRUVVPW,Hickory,area,Hickory,,MO,US,37.90824616,-93.37741383
41,USMOARIHBJBIXQ,Phelps,area,Phelps,,MO,US,37.942615,-91.749767
42,USMOARWAGVBSHE,Texas,area,Texas,,MO,US,37.238234,-91.897687
43,USGAARMUAXMTWX,"Whitfield County, GA",area,"Whitfield County, GA",,GA,US,34.7549,-84.9994
44,USMOARLDCAWUEW,"Barton, MO",area,"Barton, MO",,MO,US,37.52458969,-94.26294239500001
