neighborhood_id,neighborhood_name,city_id,city_name,state_code
1,(1608) LOCKHART COMMERCIAL NORTH,1068,Lockhart,TX
2,(2010) ARNOLD KOOP WF,1424,Port Lavaca,TX
3,(NBHD0218) BASTROP RURAL 006,107,Bastrop,TX
4,*,1199,Mooresville,NC
5,--NONE--,354,Cleveland,TN
6,--NONE--,1478,Riceville,TN
7,-,66,Austin,TX
8,-,882,Joelton,TN
9,-,1372,Palmyra,TN
10,-,1868,White Bluff,TN
11,-,1887,Winchester,TN
12,.,1296,Oak Grove,KY
13,.,1372,Palmyra,TN
14,/021069 - S2 T10 R69,1847,Wellington,CO
15,/130768 - S13 T07 R68,625,Fort Collins,CO
16,/350974 - S35 T09 R74 (per County Record),125,Bellvue,CO
17,0000,278,Cameron,TX
18,0004,583,FRUITLAND PARK,FL
19,04 FAIRWAYS,1341,PALM COAST,FL
20,0581106; CRESSWIND PH III; LOT 434,950,LAKEWOOD RANCH,FL
21,07 SPGS VILLAS CONDO,1237,NEW PORT RICHEY,FL
22,0839001000 - NORTH STAR SUBDIVISION (20080020143),625,Fort Collins,CO
23,0,14,AUBURNDALE,FL
24,0,318,Charlotte,TN
25,0,1374,Paris,TN
26,0,1730,Thrall,TX
27,0,1823,Wartrace,TN
28,1 Acre,345,Clarksville,TN
29,1 BR 1 BA BRICK DUPLEX,1598,Shelbyville,TN
30,1.4 acres | Custom Home | Bellevue,1248,Nashville,TN
31,1.67 Acres,395,Cottontown,TN
32,1/4,175,Boulder,CO
33,1/6,175,Boulder,CO
34,10 Acs Hunting Land,345,Clarksville,TN
35,10/18,568,Evans,CO
36,10/24,62,Ault,CO
37,100 Norman Place,390,Cornelius,NC
38,100 Thompson,1248,Nashville,TN
39,1002 Spain Avenue Homes,1248,Nashville,TN
40,1004,89,BUSHNELL,FL
41,1005 Carolyn Avenue Homes,1248,Nashville,TN
42,1007 Alice Avenue,1248,Nashville,TN
43,101 EOLA CONDOS,1290,ORLANDO,FL
44,1019 Alice Street Residences,1248,Nashville,TN
45,1074 Southview On Second,1248,Nashville,TN
46,11 South,345,Clarksville,TN
47,1101 2nd Avenue South Townhomes,1248,Nashville,TN
48,1155 Canyon Condos,175,Boulder,CO
49,1189 STILLS RESUB,625,Fort Collins,CO
50,1196 Em Franklin Avenue Condos,66,Austin,TX
51,11th Avenue South Commons,1248,Nashville,TN
52,12 South,1248,Nashville,TN
53,120 9th Circle Townhomes,1248,Nashville,TN
54,120 Oceola Ave II,1248,Nashville,TN
55,12080 CAPRI CIRCLE SOUTH CONDO THE,1709,TREASURE ISLAND,FL
56,1213 Delsie Drive Condo,66,Austin,TX
57,126 Woodmont Townhouses,1248,Nashville,TN
58,12TH ADD TO PORT CHARLOTTE,1243,NORTH PORT,FL
59,12th South/Belmont,1248,Nashville,TN
60,1315 East Condominium,317,Charlotte,NC
61,1315 W 9th St Condos,66,Austin,TX
62,132111 - SHERWOOD SHORES EAST CONDO,625,Fort Collins,CO
63,13443 - GOLDEN MEADOWS Neighborhood : 19601,625,Fort Collins,CO
64,14 acres across from 136 acres at 1060 Old Ferry,318,Charlotte,TN
65,1400 Arthur Row Homes,1248,Nashville,TN
66,1402 Singleton Condo,66,Austin,TX
67,1415 Otay Street Townhomes,1248,Nashville,TN
68,1417 Edgehill Avenue Townhomes,1248,Nashville,TN
69,145 Biltmore Avenue Condominiums,56,Asheville,NC
70,15 Pearl Condo,175,Boulder,CO
71,15 acres Unrestricted,303,Cedar Grove,TN
72,1500 Kenilworth,317,Charlotte,NC
73,1500 Queens LLC,317,Charlotte,NC
74,1501 Woodmont Boulevard Townhomes,1248,Nashville,TN
75,1503 Clay Street Commons,1248,Nashville,TN
76,1504 - PORT CHARLOTTE SUB 05,1243,NORTH PORT,FL
77,151 Rains Avenue Townhomes,1248,Nashville,TN
78,1524 Straightway Avenue Homeowners Association,1248,Nashville,TN
79,1526 - PORT CHARLOTTE SUB 08,1243,NORTH PORT,FL
80,1545 - PORT CHARLOTTE SUB 14,1243,NORTH PORT,FL
81,1547 - PORT CHARLOTTE SUB 16,1243,NORTH PORT,FL
82,1580 - PORT CHARLOTTE SUB 17 REPLAT,1243,NORTH PORT,FL
83,1584 - PORT CHARLOTTE SUB 30,1243,NORTH PORT,FL
84,1605 Homes At Stokes Lane,1248,Nashville,TN
85,1609 Cleves Street,1311,Old Hickory,TN
86,1612 Branch Street Homes,1248,Nashville,TN
87,1776 Gastonia,680,Gastonia,NC
88,1780,1250,Nebo,NC
89,18 AT UTE CREEK CONDOS,1074,Longmont,CO
90,18 at Ute Creek (Sonoma Village),1074,Longmont,CO
91,1804 - PORT CHARLOTTE SUB 52,1243,NORTH PORT,FL
92,1804 Shackleford Road Townhomes,1248,Nashville,TN
93,1808 Riverview Condominium,66,Austin,TX
