city_id,city_name,state_id,state_code,county_area
1,AGUADILLA,11,PR,Aguadilla
2,ALACHUA,3,FL,Alachua
3,ALTAMONTE SPRINGS,3,FL,Seminole
4,ALTOONA,3,FL,Lake
5,ANNA MARIA,3,FL,Manatee
6,APOLLO BEACH,3,FL,Hillsborough
7,APOPKA,3,FL,Orange
8,ARCADIA,3,FL,DeSoto
9,ARCHER,3,FL,Alachua
10,AUBURNDALE,3,FL,Polk
11,AVON PARK,3,FL,Highlands
12,Adams,13,TN,"Robertson County, TN"
13,Addison,5,IL,Du Page
14,Adkins,14,TX,Bexar
15,Adrian,8,MO,Bates
16,Advance,10,NC,Davie
17,Agate,2,CO,Elbert
18,Akron,2,CO,Washington
19,Alamosa,2,CO,Alamosa
20,Albemarle,10,NC,Stanly
21,Alexander,10,NC,Buncombe
22,Alexandria,13,TN,"Dekalb County, TN"
23,Allenspark,2,CO,Boulder
24,Alma,2,CO,Park
25,Alma,8,MO,Lafayette
26,Alpine,14,TX,Brewster
27,Altamont,6,KS,Labette
28,Altamont,8,MO,Daviess
29,Altamont,13,TN,"Grundy County, TN"
30,Alton,5,IL,Madison-IL
31,Amazonia,8,MO,Andrew
32,Amboy,5,IL,Lee
33,Amsterdam,8,MO,Bates
34,Anderson,12,SC,Anderson
35,Andrews,10,NC,CherokeeNC
36,Ansonville,10,NC,Anson
37,Antioch,13,TN,"Davidson County, TN"
38,Arden,10,NC,Buncombe
39,Ardmore,13,TN,"Giles County, TN"
40,Arlington,15,WA,Snohomish
41,Arma,6,KS,"Crawford, KS"
42,Arnold,8,MO,Jefferson
43,Arrington,13,TN,"Williamson County, TN"
44,Arvada,2,CO,Jefferson
45,Asheboro,10,NC,Randolph
46,Asheville,10,NC,Buncombe
47,Ashland City,13,TN,"Cheatham County, TN"
48,Atchison,6,KS,"Atchison, KS"
49,Athens,13,TN,"McMinn County, TN"
50,Auburn,15,WA,King
51,Augusta,8,MO,St Charles
52,Ault,2,CO,Weld
53,Aurora,2,CO,Arapahoe
54,Aurora,5,IL,Kane
55,Austin,14,TX,Travis
56,Avon,2,CO,Eagle
57,BABSON PARK,3,FL,Polk
58,BARTOW,3,FL,Polk
59,BAYAMON,11,PR,Bayamón
60,BELLEAIR BEACH,3,FL,Pinellas
61,BELLEAIR BLUFFS,3,FL,Pinellas
62,BELLEAIR,3,FL,Pinellas
63,BELLEVIEW,3,FL,Marion
