location_id,location_code,location_name,location_type,area,city,state_code,country,latitude,longitude
1,USKSARIZVUFBIF,Wyandotte,area,Wyandotte,,KS,US,39.1204165,-94.690971
2,USMOARVMWLVEFC,Buchanan,area,Buchanan,,MO,US,39.766947,-94.830017
3,USKSARTVXZKQYO,Miami,area,Miami,,KS,US,38.57218161,-94.8721855
4,USTNARELBKYMSX,"Coffee County, TN",area,"Coffee County, TN",,TN,US,35.47068425,-86.08319705
5,USTNARPPILIEKZ,"Marshall County, TN",area,"Marshall County, TN",,TN,US,35.468624344999995,-86.799300515
6,USKYARXINSPEKJ,"Christian County, KY",area,"Christian County, KY",,KY,US,36.65161574,-87.40708998
7,USKSAROHAWBZPN,"Montgomery, KS",area,"Montgomery, KS",,KS,US,37.224409,-95.710559
8,USMOARXQNBXAOR,Ray,area,Ray,,MO,US,39.274475,-93.9745455
9,USKSARIXEZIRAN,"Franklin, KS",area,"Franklin, KS",,KS,US,38.60677285,-95.265361
10,USTNARTPQMWTKC,"Dekalb County, TN",area,"Dekalb County, TN",,TN,US,35.96089273,-85.8155834
11,USMOARNVAIUHKP,Vernon,area,Vernon,,MO,US,37.839762,-94.358985
12,USTNARJCIOTDYE,"Lawrence County, TN",area,"Lawrence County, TN",,TN,US,35.242481145,-87.32290427
13,USMOARBGVMKGQN,Nodaway,area,Nodaway,,MO,US,40.344577,-94.878613
14,USTNARNUXGNXWQ,"Putnam County, TN",area,"Putnam County, TN",,TN,US,36.169559469999996,-85.50123804
15,USTNARCETJDZWJ,"Giles County, TN",area,"Giles County, TN",,TN,US,35.19525644,-87.03865686
16,USMOARCPOGSUDB,Henry,area,Henry,,MO,US,38.368956145,-93.77134649999999
17,USKSARVRJNHMFD,Labette,area,Labette,,KS,US,37.339325935000005,-95.276490405
18,USCOARPYOOLCIQ,Summit,area,Summit,,CO,US,39.623036155,-106.09080539499999
19,USMOARXQHCZDVQ,Pettis,area,Pettis,,MO,US,38.702661,-93.235644
20,USILARAFLLRDFX,St Clair-IL,area,St Clair-IL,,IL,US,38.537199,-89.984128
21,USKSARCEBFJTBS,Bourbon,area,Bourbon,,KS,US,37.833365,-94.706505
22,USMOARJOGRMTSG,Gentry,area,Gentry,,MO,US,40.216476,-94.540317705
23,USTNARXWXMIRZW,"Houston County, TN",area,"Houston County, TN",,TN,US,36.29147971,-87.67009629
24,USMOARXYTJDHMQ,Grundy,area,Grundy,,MO,US,40.07171,-93.612559
25,USGAARYODDIAZI,"Catoosa County, GA",area,"Catoosa County, GA",,GA,US,34.92443,-85.155057
26,USTNARMHDNZQYO,"Rhea County, TN",area,"Rhea County, TN",,TN,US,35.474987765,-84.970573685
27,USKSARPZTQVOAT,Coffey,area,Coffey,,KS,US,38.16173272,-95.7427815
28,USTNARGIRHUVTA,"Moore County, TN",area,"Moore County, TN",,TN,US,35.34025034,-86.31021054
29,USMOARNWGYGZHA,Camden,area,Camden,,MO,US,38.178741,-92.756564
30,USKYARNLPVZZOM,Fulton,area,Fulton,,KY,US,36.50717215,-88.8782828
31,USMOARHQWUCPVL,Pulaski,area,Pulaski,,MO,US,37.808170000000004,-92.156862
32,USMOARTXRUVVPW,Hickory,area,Hickory,,MO,US,37.90824616,-93.37741383
33,USMOARIHBJBIXQ,Phelps,area,Phelps,,MO,US,37.942615,-91.749767
