neighborhood_id,neighborhood_name,city_id,city_name,state_code
1,(1608) LOCKHART COMMERCIAL NORTH,924,Lockhart,TX
2,(2010) ARNOLD KOOP WF,1236,Port Lavaca,TX
3,(NBHD0218) BASTROP RURAL 006,86,Bastrop,TX
4,*,1038,Mooresville,NC
5,--NONE--,295,Cleveland,TN
6,--NONE--,1280,Riceville,TN
7,-,55,Austin,TX
8,-,763,Joelton,TN
9,-,1615,White Bluff,TN
10,-,1631,Winchester,TN
11,.,1121,Oak Grove,KY
12,.,1187,Palmyra,TN
13,/350974 - S35 T09 R74 (per County Record),98,Bellvue,CO
14,0000,227,Cameron,TX
15,04 FAIRWAYS,1159,PALM COAST,FL
16,07 SPGS VILLAS CONDO,1070,NEW PORT RICHEY,FL
17,0839001000 - NORTH STAR SUBDIVISION (20080020143),532,Fort Collins,CO
18,0,10,AUBURNDALE,FL
19,0,262,Charlotte,TN
20,0,1495,Thrall,TX
21,1 Acre,287,Clarksville,TN
22,1 BR 1 BA BRICK DUPLEX,1381,Shelbyville,TN
23,1.67 Acres,331,Cottontown,TN
24,1/6,143,Boulder,CO
25,10/18,482,Evans,CO
26,10/24,52,Ault,CO
27,100 Norman Place,327,Cornelius,NC
28,1002 Spain Avenue Homes,1079,Nashville,TN
29,1005 Carolyn Avenue Homes,1079,Nashville,TN
30,1007 Alice Avenue,1079,Nashville,TN
31,101 EOLA CONDOS,1116,ORLANDO,FL
32,1019 Alice Street Residences,1079,Nashville,TN
33,11 South,287,Clarksville,TN
34,1189 STILLS RESUB,532,Fort Collins,CO
35,11th Avenue South Commons,1079,Nashville,TN
36,12 South,1079,Nashville,TN
37,120 9th Circle Townhomes,1079,Nashville,TN
38,120 Oceola Ave II,1079,Nashville,TN
39,12080 CAPRI CIRCLE SOUTH CONDO THE,1475,TREASURE ISLAND,FL
40,1213 Delsie Drive Condo,55,Austin,TX
41,126 Woodmont Townhouses,1079,Nashville,TN
42,12TH ADD TO PORT CHARLOTTE,1075,NORTH PORT,FL
43,1315 East Condominium,261,Charlotte,NC
44,132111 - SHERWOOD SHORES EAST CONDO,532,Fort Collins,CO
45,13443 - GOLDEN MEADOWS Neighborhood : 19601,532,Fort Collins,CO
46,14 acres across from 136 acres at 1060 Old Ferry,262,Charlotte,TN
47,1402 Singleton Condo,55,Austin,TX
48,1415 Otay Street Townhomes,1079,Nashville,TN
49,1417 Edgehill Avenue Townhomes,1079,Nashville,TN
50,15 Pearl Condo,143,Boulder,CO
51,15 acres Unrestricted,251,Cedar Grove,TN
52,1503 Clay Street Commons,1079,Nashville,TN
53,1504 - PORT CHARLOTTE SUB 05,1075,NORTH PORT,FL
54,151 Rains Avenue Townhomes,1079,Nashville,TN
55,1526 - PORT CHARLOTTE SUB 08,1075,NORTH PORT,FL
56,1545 - PORT CHARLOTTE SUB 14,1075,NORTH PORT,FL
57,1547 - PORT CHARLOTTE SUB 16,1075,NORTH PORT,FL
58,1584 - PORT CHARLOTTE SUB 30,1075,NORTH PORT,FL
59,1609 Cleves Street,1131,Old Hickory,TN
60,1612 Branch Street Homes,1079,Nashville,TN
61,1776 Gastonia,579,Gastonia,NC
62,1780,1080,Nebo,NC
63,18 AT UTE CREEK CONDOS,930,Longmont,CO
64,18 at Ute Creek (Sonoma Village),930,Longmont,CO
65,1804 - PORT CHARLOTTE SUB 52,1075,NORTH PORT,FL
66,1804 Shackleford Road Townhomes,1079,Nashville,TN
67,1808 Riverview Condominium,55,Austin,TX
68,1ST ADDITION,276,Cheyenne Wells,CO
69,1st Highland Hills,625,Greeley,CO
70,2 W/SFPD,1028,Moffat,CO
71,2011 Kirksey Condo,55,Austin,TX
72,2020 Congress Condo,55,Austin,TX
73,2022 Straightway Avenue,1079,Nashville,TN
74,205 Paragon Mills Rd,1079,Nashville,TN
75,2116 Courtney Avenue Townhomes,1079,Nashville,TN
76,2120 15th Avenue North Townhomes,1079,Nashville,TN
77,2137 12th Ave N Residences,1079,Nashville,TN
78,2206 White Avenue Townhomes,1079,Nashville,TN
79,2213/2215 Castleman,1079,Nashville,TN
80,2217 Sadler Avenue Townhomes,1079,Nashville,TN
81,230 South Tryon,261,Charlotte,NC
82,2325 Business Park Block 1 Lot 1 1.50,1630,Wimberley,TX
83,240769 - S24 T07 R69,532,Fort Collins,CO
84,2600 Pennington Avenue Homes,1079,Nashville,TN
85,2612 & 2614 Willow Condo,55,Austin,TX
86,2725006000 - Millennium Northwest 6th Sub,936,Loveland,CO
87,28th Row,261,Charlotte,NC
88,2,1318,Round Rock,TX
89,3 Cherry Way,400,Denver,NC
90,3023 CARMODY HILLCREST & MTN VIEW LAKES (28-4-69),863,Lakewood,CO
91,3031102 - LONE PINE ACRES ADD,475,Estes Park,CO
92,30TH ADD TO PORT CHARLOTTE,1075,NORTH PORT,FL
93,31.8 acre Farm,1134,Only,TN
94,3113 CYTEWORTH RESUB,475,Estes Park,CO
95,3311 Red River,55,Austin,TX
96,3318 Felicia Street Townhomes,1079,Nashville,TN
97,345 BAYSHORE A CONDO,1466,TAMPA,FL
98,3505 Villa Court Condo,55,Austin,TX
99,3653 - COVE MB 38 PG 185,1174,PORT ORANGE,FL
100,400 CENTRAL,1347,ST PETERSBURG,FL
101,4101 Menchaca,55,Austin,TX
102,420 Queens,261,Charlotte,NC
103,4309 Gallatin Road Townhomes,1079,Nashville,TN
104,433 Ward Parkway,779,Kansas City,MO
105,44 EAST AVE CONDOMINIUMS,55,Austin,TX
106,44 East Ave Condominiums,55,Austin,TX
107,44 East Ave. Condos,55,Austin,TX
108,4417 Jj Watson Avenue Townhomes,1079,Nashville,TN
109,45 Asheland Avenue,46,Asheville,NC
110,4709 Kentucky Cottages,1079,Nashville,TN
111,4905 South Crest Drive,55,Austin,TX
112,5 Crystal Spgs Court Condos,1490,The Hills,TX
113,505 High Rise Condominium,1079,Nashville,TN
114,505 Moore Avenue Townhomes,1079,Nashville,TN
115,510 Delaware Lofts,779,Kansas City,MO
116,523 Grand,779,Kansas City,MO
117,525 31st Avenue Townhomes,1079,Nashville,TN
118,55 South Market,46,Asheville,NC
119,5502 Urbandale Avenue,1079,Nashville,TN
120,5600 Jim Hogg Condo Amd,55,Austin,TX
121,5URFVIEW/MATANZAS SHORES,1159,PALM COAST,FL
122,6 Acres,1381,Shelbyville,TN
123,6 CREEKS PHASE 1 SEC 5A,808,Kyle,TX
124,6 CREEKS,808,Kyle,TX
125,6 Creeks Ph 1 Sec 1,808,Kyle,TX
126,6 Creeks Ph 1 Sec 4B,808,Kyle,TX
127,6 Creeks Sec 10,808,Kyle,TX
128,6 Creeks at Waterridge: 55ft. lots,808,Kyle,TX
129,6 Creeks at Waterridge: 70ft. lots,808,Kyle,TX
130,6 Creeks,808,Kyle,TX
131,609 Waco Drive Homes,1079,Nashville,TN
132,60th And Morrow,1079,Nashville,TN
133,6328 Columbia Avenue Townh,1079,Nashville,TN
134,6404 Porter Street Condos,55,Austin,TX
135,6498 Arno College Grove Rd,304,College Grove,TN
136,676 Annex Avenue Townhomes,1079,Nashville,TN
137,6th Avenue West,605,Golden,CO
138,7 Creeks Ranch,182,Burnet,TX
139,70 Rainey Residences,55,Austin,TX
140,764,926,Lometa,TX
141,8 acres with pond,1105,Nunnelly,TN
142,824 Watts Lane Townhomes,1079,Nashville,TN
143,8468000001 - MOSAIC FLATS CONDOS AMENDED AND RESTA,532,Fort Collins,CO
144,9/15,532,Fort Collins,CO
145,909 Vargas Condominiums,55,Austin,TX
146,910 Youngs Lane Townhomes,1079,Nashville,TN
147,927 Thomas Avenue Townhomes,1079,Nashville,TN
148,9300 E FLORIDA AVENUE,399,Denver,CO
149,9778 Concord,155,Brentwood,TN
150,: Breenlow Park,399,Denver,CO
151,: Hidden Valley Farm,1375,Severance,CO
152,A B Cases Add,399,Denver,CO
153,A B Legg,1520,Tullahoma,TN
154,A B Shankland,1079,Nashville,TN
155,A REP OF FAIRWAY SPGS,1070,NEW PORT RICHEY,FL
156,A and R,736,Independence,MO
157,A0008 - WILLIAM H HAGGARD SURVEY,417,Dripping Springs,TX
158,"A0062 - A0062 - Hope, P. & A.",153,Brenham,TX
159,A0174 - STILES J FOWLER SURVEY,417,Dripping Springs,TX
160,A086 - RABB WM 3 LGS,839,La Grange,TX
161,A0999,771,Junction,TX
162,"A1420 DOBBINS, STERRETT, 51.193 ACRES",227,Cameron,TX
163,A211,1276,Red Rock,TX
164,A2230,1301,Rockdale,TX
165,A238,518,Flatonia,TX
166,ABBOTT SQUARE PH 1A,1656,ZEPHYRHILLS,FL
167,ABERDEEN PH 02,1557,WESLEY CHAPEL,FL
168,ABS A0171 CHARLES CAVANAUGH,182,Burnet,TX
169,ABS A0179 Luciano Cabasas,108,Bertram,TX
170,ABS A144 BBB & CRRC * ABS A052 HAMILTON W LG,1064,Muldoon,TX
171,ACME GULFAIR,958,MIAMI,FL
172,ACREAGE & UNREC,7,APOPKA,FL
173,ACREAGE & UNREC,430,ENGLEWOOD,FL
174,ACREAGE & UNREC,496,FRUITLAND PARK,FL
175,ACREAGE & UNREC,775,KISSIMMEE,FL
176,ACREAGE & UNREC,1329,SANFORD,FL
177,ACREAGE & UNREC,1331,SARASOTA,FL
178,ACREAGE & UNREC,1344,ST CLOUD,FL
179,ACREAGE & UNREC,1538,VENICE,FL
180,ACREAGE & UNREC,1558,WEST PALM BEACH,FL
181,ACREAGE,820,LAKE WALES,FL
182,ACREAGE,821,LAKELAND,FL
183,ACREAGE,1565,WINTER HAVEN,FL
184,ACUERA ESTATES,7,APOPKA,FL
185,ADAIRS ADD PB 3 PG 13,821,LAKELAND,FL
186,ADMIRALS POINT II,1178,PUNTA GORDA,FL
187,ADONEA SUBDIVISION FLG NO 7,53,Aurora,CO
188,ADRIANE PARK,775,KISSIMMEE,FL
189,AG/NON SUB,1556,WEIRSDALE,FL
190,AGAVE,55,Austin,TX
191,ALAMANDA,821,LAKELAND,FL
192,ALAMEDA ISLES,430,ENGLEWOOD,FL
193,ALAQUA,494,FREEPORT,FL
194,ALFRED TALLANT,69,BRADENTON,FL
195,ALINARI,1331,SARASOTA,FL
196,"ALLEN, WILLIAM",1301,Rockdale,TX
197,ALLREDS ADD,1109,OCALA,FL
198,ALOHA GARDENS,644,HOLIDAY,FL
199,ALTAMONTE HEIGHTS,1466,TAMPA,FL
200,ALTAMONTE RIDGE,3,ALTAMONTE SPRINGS,FL
201,ALTERRA,887,Leander,TX
202,AMBER KAY TERRACE,8,ARCADIA,FL
203,AMBERGATE,7,APOPKA,FL
204,AMENDED PLAT OF WESTMINSTER HOMES SUBD,1605,Westminster,CO
205,AMORA,1538,VENICE,FL
206,ANCHOR POINT A CONDO,6,APOLLO BEACH,FL
207,ANCIENT OAKS RV RESIDENCE V,1113,OKEECHOBEE,FL
208,ANCIENT OAKS UNIT ONE,1163,PARRISH,FL
209,ANDERSON HILLS PT REP,208,CLERMONT,FL
210,ANDERSON PARK,1116,ORLANDO,FL
211,ANDERSON R M SUB,1466,TAMPA,FL
212,ANDERSON SNOW ESTATES,1342,SPRING HILL,FL
213,ANDOVER RIDGE,366,DELAND,FL
214,ANDREWS NEW SMYRNA,1071,NEW SMYRNA BEACH,FL
215,ANDREWS PLACE,821,LAKELAND,FL
216,ANGEBILT ADD,1116,ORLANDO,FL
217,ANGELINE - ACTIVE ADULT,824,LAND O LAKES,FL
218,ANGELINE -ACTIVE ADULT,824,LAND O LAKES,FL
219,ANGELINE,824,LAND O LAKES,FL
220,ANISTON,821,LAKELAND,FL
221,ANITA SUB,1466,TAMPA,FL
222,ANNA,155,Brentwood,TN
223,ANTIETAM ACRES,207,CLEARWATER,FL
224,APACHE MESA,53,Aurora,CO
225,APOLLO BEACH UNIT TWO,6,APOLLO BEACH,FL
226,APOLLO KEY VILLAGE,6,APOLLO BEACH,FL
227,APOPKA TERRACE,7,APOPKA,FL
228,APPIAN POINTE,1178,PUNTA GORDA,FL
229,APPLE VALLEY,3,ALTAMONTE SPRINGS,FL
230,APPLEWOOD VILLAGE TOWNHOUSES,863,Lakewood,CO
231,APSU,287,Clarksville,TN
232,AQUALANE ESTATES 2ND UNIT,1331,SARASOTA,FL
233,AQUARIUS OCEANFRONT,1117,ORMOND BEACH,FL
234,ARBOR CLUB,1116,ORLANDO,FL
235,ARBOR GREENE PH 6,1466,TAMPA,FL
236,ARBOR GROVE CONDO,1347,ST PETERSBURG,FL
237,ARBOR POINTE CONDOS PH 1 AMD,44,Arvada,CO
238,ARBOR VALLEY,1421,Spring Hill,TN
239,ARBORS/WIREGRASS RANCH,1557,WESLEY CHAPEL,FL
240,ARCADIA LAND & IMPROV COS,8,ARCADIA,FL
241,ARCHER HILLS,9,ARCHER,FL
242,ARDEN PARK NORTH,1111,OCOEE,FL
243,ARIPEKA,649,HUDSON,FL
244,ARLINGTON SQUARE,639,HAINES CITY,FL
245,ARROWHEAD LAKE,639,HAINES CITY,FL
246,ARROYO RANCH,1373,Seguin,TX
247,ARTISAN LAKES EAVES BEND PH I SP A-K,1161,PALMETTO,FL
248,ARTISAN LAKES ESPLANADE PH III SP A-E,1161,PALMETTO,FL
249,ARTISAN LAKES ESPLANADE,1161,PALMETTO,FL
250,ARTISTRY PH 2B,1331,SARASOTA,FL
251,ASHLEY COURT CONDO,1116,ORLANDO,FL
252,ASHLEY OAKS UNIT 1,1262,RIVERVIEW,FL
253,ASHTON VIERA NORTH PUD TR B-1,1263,ROCKLEDGE,FL
254,ASSESSORS ALVAREZ GRANT,428,EDGEWATER,FL
255,ASSESSORS WILSON MAP LEVY GRANT,366,DELAND,FL
256,ASTONIA NORTH,360,DAVENPORT,FL
257,AUBURNDALE HEIGHTS,10,AUBURNDALE,FL
258,AUBURNDALE LAKESIDE PARK,10,AUBURNDALE,FL
259,AUDUBON VLS/HUNTERS CRK CONDO,1116,ORLANDO,FL
260,AURORA HILLS,53,Aurora,CO
261,AUTUMN GLEN,63,BELLEVIEW,FL
262,AUTUMN OAKS,649,HUDSON,FL
263,AVALON AT VILLAGE OF PALM AIRE 1,1331,SARASOTA,FL
264,AVALON BY SEA,1117,ORMOND BEACH,FL
265,AVALON ESTATES,1564,WINTER GARDEN,FL
266,AVALON PARK TAVARES,1468,TAVARES,FL
267,AVALON PARK WEST-NORTH PH 1A &,1557,WESLEY CHAPEL,FL
268,AVALON PRESERVE,491,FORT MYERS,FL
